公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段,特許ステータス
特開2025-157209,令和7年10月15日,デバイス及び通信方法,特願2025-85933,令和7年5月22日,株式会社ＮＴＴドコモ,"['', '', '', '']",デバイスの送信信号（例えばＭｓｇ１など）間のオフセット値に対して、ＯＦＤＭシンボルのパディング期間におけるサンプリング周波数オフセット等による影響を考慮することが可能なＡ－ＩｏＴデバイス及び通信方法を提供すること。,ＮＢ－ＩｏＴデバイスよりも低複雑度のデバイスであって、無線通信装置から、ランダムアクセスをトリガーするＲ２Ｄ信号を受信する受信部と、前記ランダムアクセスをトリガーする信号に応答する応答信号を、前記無線装置に送信制御する制御部と、を備え、前記制御部は、ＯＦＤＭシンボルのパディング期間におけるサンプリング周波数オフセットによる影響を考慮して、応答信号間のオフセット値を調整する。 【選択図】図１７ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157209
特開2025-157143,令和7年10月15日,ネットワーク装置、無線通信システム及び無線通信方法,特願2025-26961,令和7年2月21日,株式会社ＮＴＴドコモ,[''],A-IoT deviceから送信されるUL trafficをCN nodeに適切にルーティングし得るネットワーク装置、無線通信システム及び無線通信方法を提供する。,ネットワーク装置は、下位レイヤを用いた通信を実行する通信装置とメッセージの通信を実行する通信部と、前記メッセージの通信を制御する制御部と、を備え、前記メッセージは、前記通信装置から受信するアップリンクトラフィックをコアネットワークにルーティングするための識別情報を含む。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157143
特開2025-157131,令和7年10月15日,通信装置及び通信方法,特願2025-18806,令和7年2月6日,株式会社ＮＴＴドコモ,[''],アンビエントＩｏＴ（Ｉｎｔｅｒｎｅｔ  ｏｆ  Ｔｈｉｎｇｓ）デバイスがランダムアクセス手順を実行する通信装置及び通信方法を提供する。,無線通信システムにおいて、通信装置である基地局１０は、ランダムアクセス手順におけるＭｓｇ１をアンビエントＩｏＴ－ＭＡＣ（Ｍｅｄｉｕｍ Ａｃｃｅｓｓ Ｃｏｎｔｒｏｌ）レイヤにおいて、１又は複数のデバイスから受信する受信部１２０と、Ｍｓｇ１に応答するランダムアクセス手順におけるＭｓｇ２を生成する制御部１４０と、Ｍｓｇ２を１又は複数のデバイスに送信する送信部１１０と、を有し、制御部１４０は、Ｍｓｇ２に、Ｍｓｇ１に含まれるランダムＩＤ及び１又は複数のデバイスにそれぞれ対応するＡＳ－ＩＤ（Ａｃｃｅｓｓ Ｓｔｒａｔｕｍ－ＩＤ）を含める。 【選択図】図２０ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157131
特開2025-157130,令和7年10月15日,通信装置及び通信方法,特願2025-18804,令和7年2月6日,株式会社ＮＴＴドコモ,[''],アンビエントＩｏＴ（Ｉｎｔｅｒｎｅｔ  ｏｆ  Ｔｈｉｎｇｓ）デバイスに係る通信に識別子を導入する通信装置及び通信方法を提供する。,無線通信システムにおいて、通信装置である端末２０は、アンビエントＩｏＴ－ＭＡＣ（Ｍｅｄｉｕｍ Ａｃｃｅｓｓ Ｃｏｎｔｒｏｌ）レイヤのメッセージを生成し、アンビエントＩｏＴ－ＭＡＣレイヤにおけるサブヘッダをメッセージに付与する制御部２４０と、メッセージを他の通信装置に送信する送信部２１０と、を有し、制御部２４０は、ＡＳ－ＩＤ（Ａｃｃｅｓｓ Ｓｔｒａｔｕｍ－ＩＤ）が必要か否かを判定し、必要である場合前記サブヘッダにＡＳ－ＩＤを含め、必要でない場合、前記サブヘッダにＡＳ－ＩＤを含めない。 【選択図】図２５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157130
特開2025-157128,令和7年10月15日,デバイス及び通信方法,特願2025-18382,令和7年2月6日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",複数のリーダーからＲ２Ｄを受信する可能性があるＡ－ＩｏＴデバイスの制御内容を明確化したデバイス及び通信方法の提供に資する。,無線通信装置から送信されるメッセージを受信する受信部と、前記受信部がメッセージを受信したタイミングが特定の期間に含まれる場合に、一の無線通信装置から送信されたメッセージに対してのみ応答を行う送信部と、を備えるデバイス。送信部は、前記特定の期間が終了すると、前記一の無線通信装置とは異なる他の無線通信装置から送信されたメッセージに対して応答可能である。 【選択図】図１４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157128
特開2025-157113,令和7年10月15日,ネットワーク装置、無線通信システム及び無線通信方法,特願2025-6368,令和7年1月16日,株式会社ＮＴＴドコモ,[''],A-IoT RANとA-IoT CNとの間においてA-IoT deviceに関するメッセージの通信を適切に実行し得るネットワーク装置、無線通信システム及び無線通信方法を提供する。,ネットワーク装置は、下位レイヤを用いた通信を実行する通信装置に関するメッセージの通信を実行する通信部と、前記メッセージの通信を制御する制御部と、を備え、前記メッセージは、無線アクセスネットワークとコアネットワークとの間において前記通信装置を特定する情報を含む。 【選択図】 図６ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157113
特開2025-157108,令和7年10月15日,無線通信装置及び通信方法,特願2024-216931,令和6年12月11日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",Ａ－ＩｏＴを含む通信システムにおいて、リソースプール内のリソース選択におけるパラメータを、適切に決定すること。,ＮＢ－ＩｏＴデバイスよりも低複雑度のデバイスと通信する無線通信装置は、ネットワークから、前記デバイスとの間のＲ２Ｄ送信／Ｄ２Ｒ受信／ＣＷ送信用のリソースプールを示すリソースプール情報を受信する受信部と、前記リソースプール内で、前記Ｒ２Ｄ送信／Ｄ２Ｒ受信／ＣＷ送信用のリソースを選択するためのパラメータを決定する制御部と、を備える。 【選択図】図５１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157108
特開2025-157107,令和7年10月15日,通信装置及び通信方法,特願2024-213906,令和6年12月6日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",A-IoTの無線システムが適切に動作するための通信装置を提供すること。,環境発電によって電力が供給されるデバイスと無線通信する通信装置は、リソースプールに関する情報を受信する受信部と、前記リソースプールの中から前記デバイスにおける下り信号の送信のためのリソースと、上り信号の受信のためのリソースとを一緒に選択する制御部と、を有する。 【選択図】図１４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157107
特開2025-157098,令和7年10月15日,端末、無線通信システム及び無線通信方法,特願2024-201149,令和6年11月18日,株式会社ＮＴＴドコモ,[''],A-IoT enabled UEとA-IoT deviceとの間のA-IoT radio resourceを効率的に使用し得る端末、無線通信システム及び無線通信方法を提供する。,端末は、通信装置と下位レイヤを用いた通信を制御する制御部と、前記通信端末と前記下位レイヤを用いた通信を実行する通信部と、を備え、前記制御部は、前記下位レイヤを用いた通信用の条件が満たされた場合に、前記下位レイヤを用いた通信のリソースを非活性化し、或いは、前記下位レイヤを用いた通信用のトリガに応じてタイマを起動し、前記タイマが満了するまで前記下位レイヤを用いた通信のリソースを維持し、前記タイマが満了した場合に前記下位レイヤを用いた通信のリソースを非活性化又は解放する。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157098
特開2025-157092,令和7年10月15日,通信装置及び通信方法,特願2024-196314,令和6年11月8日,株式会社ＮＴＴドコモ,"['', '', '']",アンビエントＩｏＴ（Ｉｎｔｅｒｎｅｔ  ｏｆ  Ｔｈｉｎｇｓ）デバイスが電力状態報告に係る動作を実行する。,無線通信システムにおいて、通信装置は、アンビエントＩｏＴ（Ｉｎｔｅｒｎｅｔ ｏｆ Ｔｈｉｎｇｓ）デバイスにページングメッセージを送信し、アンビエントＩｏＴデバイスからページングメッセージの応答であるＭｓｇ１を受信し、アンビエントＩｏＴデバイスにＭｓｇ１で受信したランダムＩＤを含むＭｓｇ２を送信し、アンビエントＩｏＴデバイスから第１の上位レイヤメッセージを含むＭｓｇ３を受信し、アンビエントＩｏＴデバイスに第２の上位レイヤメッセージを送信し、アンビエントＩｏＴデバイスから第３の上位レイヤメッセージを受信し、Ｍｓｇ１、Ｍｓｇ３又は第３の上位レイヤメッセージを受信する機会にアンビエントＩｏＴデバイスが電力状態報告をサポートするか否かを示す能力を取得する。 【選択図】図１５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157092
