公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段
特開2025-149877,令和7年10月8日,端末及び無線通信方法,特願2025-4009,令和7年1月10日,"['株式会社ＮＴＴドコモ', 'インフォート弁理士法人']","['三井  周', '島  康介', '越後  春陽']",ポジショニングの精度を向上すること。,本開示の一態様に係る端末は、人工知能（ＡＩ）ベースドポジショニングについて端末側でサポートされる機能の報告に対する要求を受信する受信部と、前記サポートされる機能としてＵＥ能力を報告するように制御する制御部と、を有し、ＵＥ能力は、測位方法、モデル、前記ＡＩベースドポジショニングのユースケースごと、あるいは、単一の測位方法として規定される。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-149871,令和7年10月8日,生成的な事前訓練を行なったトランスフォー厶（ＧＥＮＥＲＡＴＩＶＥ  ＰＲＥ－ＴＲＡＩＮＥＤ  ＴＲＡＮＳＦＯＲＭ）のためのグラフベースのインタラクションインターフェース,特願2025-3162,令和7年1月9日,"['ユーアイパス，インコーポレイテッド', '弁理士法人東海特許事務所']","['ピーター  エケ', 'マイロ  シールズ', 'イザベラ  カプリオッティ']",コンピューティング環境内でコンピュータプログラムとして実装される接続エンジンによって遂行される方法を提供する。,生成人工知能（ＡＩ）モードを利用してチャットアシスタントを実行する接続エンジンによる方法は、グラフベースのインタラクションインターフェースを生成することと、グラフベースのインタラクションインターフェース内のノードとしてユーザーとチャットアシスタントとの間のインタラクションを処理することと、グラフベースのインタラクションインターフェースのノード間の接続を確立することと、を含む。前記接続は、ノード間でコンテキストの受け渡しを可能にする。方法はまた、対応するノードのインタラクションの更新をコンテキストとして接続された他のノードに伝播することを含む。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-149822,令和7年10月8日,販売時点における物体分類および識別,特願2024-193154,令和6年11月1日,"['東芝テック株式会社', '弁理士法人鈴榮特許綜合事務所']",['レアンドロ  モレラ'],販売時点において物体分類および識別を実行するシステムおよび方法を提供する。,１つの例示的な実施形態では、方法は、荷重センサおよび光学センサを有するＰＯＳシステムによって実行される。荷重センサは、ＰＯＳシステムの荷重面上に配置されている間に物体の荷重を測定するように動作可能である。光学センサは、荷重面に関連付けられた視野を有し、画像をキャプチャするように動作可能である。本方法は、キャプチャされた画像からのターゲット物体の物体認識と荷重測定値からのターゲット物体の予測とに基づいて、ターゲット物体の物体分類または識別を可能にするために、ターゲット物体を含む光学センサによってキャプチャされた画像と、ターゲット物体が荷重面上に配置されている間に荷重センサによって実行されるターゲット物体に関連付けられた荷重測定値とを取得することを含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-149099,令和7年10月8日,分析支援装置、分析支援方法、および分析支援プログラム,特願2024-49543,令和6年3月26日,"['三菱電機株式会社', '高村  順']","['佐藤  幹', '大塚  浩志']",特許情報を分析した結果をより容易に解釈可能な態様で示すことを可能とする分析支援装置を得ること。,分析支援装置３は、特許マップを分析する分析部２２と、特許マップのうち注目すべき領域を特許マップの分析結果に基づいて特定する特定部２３と、特定部２３によって領域が特定された根拠を示す情報が入力され、特定された領域について特許出願を推奨する理由を説明する文を、入力された情報に基づいて生成する生成部２４と、を備える。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-148289,令和7年10月7日,人工知能を利用した航空評価フィードバックレコメンデーションとファインディングマッピング,特願2025-42994,令和7年3月18日,"['ザ・ボーイング・カンパニー', '園田・小林弁理士法人']","['ビスワル，  スシャンタ  クマール', 'レイ，  アビック', 'グプタ，  ヤミニ', 'シュヴァーン，  メル  エリック']",航空会社の評価、コメントの推奨及びファインディング予測マッピング方法等を提供する。,方法は、評価分類エントリフィールド内への第１のユーザ部分エントリに応じて第１の大規模言語モデル（ＬＩＭ）が、評価分類のプロンプトを提供し、そのうちの１つの選択又は代替的な分類のユーザエントリを受け取り、タスク記述の部分エントリに応じて第１のＬＩＭが提案されたタスク記述のプロンプトを提供し、そのうちの１つの選択又は代替的なタスク記述のユーザ入力を受け取り、コメントの部分エントリに応じて、第１のＬＬＭが提案されたコメントの単語のサブセットを含むプロンプトを提供し、そのうちの１つの選択又は代替的なコメントのユーザ入力を受け取り、第２のＬＩＭが評価分類、タスク記述及びコメントに基づいて、予測されたファインディングを提供し、そのうちの１つの選択又は代替的なファインディングのユーザ入力を受け取る。 【選択図】図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-148271,令和7年10月7日,測定装置を作動させる方法,特願2025-37456,令和7年3月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '大場  玲児', '高橋  始']","['フリッシェン，アンドレアス', 'ケルシュ，アンドレアス', 'ギリアード，アンケ', 'シュガルツ，ハイコ', 'シュトレイル，ヤン  リヌス', 'ボロウスキー，ユーディト', 'フェデラー，ルーカス', 'トロエルチェ，ウーヴェ']",壁診断装置を、作動させる改良された方法を提供する。,本発明は、測定装置（１００）を、特に壁診断装置を、作動させるコンピュータインプリメントされた方法（２００）に関し、測定装置（１００）のレーダーセンサユニット（１０１）のレーダーデータ（１０３）が受信（２０１）されること、測定装置（１００）の診断モジュール（１０７）によってレーダーデータ（１０３）の分析の実行により壁診断が実行（２０３）されること、および診断結果（１０９）が提供されること、診断モジュール（１０７）によって測定装置（１００）の表示ユニット（１１１）に診断結果（１０９）が提供（２０７）されること、ならびに、診断結果（１０９）が表示ユニット（１１１）に表示（２０９）されることを含む。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-147527,令和7年10月7日,議事録作成システム,特願2024-47816,令和6年3月25日,"['戸田建設株式会社', '弁理士法人東京アルパ特許事務所']",['安武  祐太'],発話者識別情報を事前登録する手間を削減する。,発話者識別記憶部２４は、発言の発話者を識別するための情報を記憶する。記録記憶部１４は、会議を録音した音声を表す情報を記憶する。発話者識別部２５は、発話者識別記憶部２４が記憶した情報に基づいて、記録記憶部１４が記憶した情報によって表される音声の発話者を識別する。記録再生部５１は、記録記憶部１４が記憶した情報に基づいて、前記音声を再生する。発話者取得部５２は、記録再生部５１が再生した音声について、その音声の発話者についての情報を取得する。発話者識別更新部５５は、発話者取得部５２が取得した情報に基づいて、発話者識別記憶部２４が記憶した情報を更新する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-147421,令和7年10月7日,廃棄物分類処理装置,特願2024-47669,令和6年3月25日,"['株式会社奥村組', '弁理士法人翔和国際特許事務所']","['羽渕  博臣', '岩下  将也', '鈴木  奨士', '清水  祐也', '大角  藤子']",ごみ等の廃棄物を詳細に分類すること。,屋外に設置され、ベルトコンベアで搬送される廃棄物の種類および量を推定し、廃棄物を分類処理する廃棄物分類処理装置であって、ベルトコンベアを搬送されてくる廃棄物をふるい分けするふるい分け部と、ふるい分けされた廃棄物にハロゲン光を照射して、ハイパースペクトルカメラを用いて撮像した撮像画像から、廃棄物の反射光のスペクトルデータを抽出し、抽出したスペクトルデータに基づいて、ふるい分けされた廃棄物の種類および量を推定する推定部と、ふるい分けされた廃棄物を選別して、種類ごとに分類する分類部と、を備えた。 【選択図】図９ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-146352,令和7年10月3日,人工知能（ＡＩ）／機械学習（ＭＬ）を用いた無線通信のビーム選択の性能を監視するための端末装置、基地局装置、制御方法、及びプログラム,特願2024-47080,令和6年3月22日,"['ＫＤＤＩ株式会社', '弁理士法人大塚国際特許事務所']","['渡辺  大詩', '大関  武雄', '菅野  一生']",基地局装置が使用するビームのＡＩ／ＭＬモデルによる選択手法のための端末装置から基地局装置へのフィードバックを適切に構成すること。,基地局装置から、その基地局装置が形成する複数の第１のビームのそれぞれを用いて送信された参照信号と、複数の第１のビームより少ない数の第２のビームのそれぞれを用いて送信された参照信号との無線品質の測定を行うことができる端末装置は、第２のビームのそれぞれを用いて基地局装置から送信された参照信号の無線品質の第１の測定を行い、第２のビームのそれぞれについて測定された無線品質の少なくとも一部を、機械学習による学習済みモデルへ入力することにより、複数の第１のビームのそれぞれについての予測無線品質を取得し、第１のビームの少なくとも一部を用いて基地局装置から送信された参照信号の無線品質の測定を行い、複数の第１のビームの少なくとも一部について、測定によって得られた実測の無線品質と予測無線品質との差分値に関する情報を、基地局装置へ報告する。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-144112,令和7年10月2日,サービス提供システム,特願2024-43729,令和6年3月19日,['株式会社フューチャーアイ'],['塚本  豊'],それぞれの特化型学習済モデルの人工知能を用いたサービスをユーザに提供しつつも、それら複数の特化型学習済モデルの人工知能全体を包括した情報提供等の包括的サービスを提供できるようにする。,各コンテンツＡ、Ｂ、Ｃに基づいてそのコンテンツに特化したサービスをユーザ１～５に提供可能な複数のスレーブＡＩ群１１７と、複数のスレーブＡＩと情報のやり取りを行うマスターＡＩ１１６とを備えている。マスターＡＩ１１６は、アクセスしてきたユーザが希望するスレーブ人工知能を当該ユーザが使用可能なスレーブ人工知能の中から選択して使用を許可すると共に、複数のスレーブＡＩ群１１７とやり取りした情報に基づいて、アクセスしてきたユーザが使用可能な複数のスレーブＡＩ全体を包括したサービスを当該ユーザに提供する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
